date,time,water_level,rain_hourly,temperature,humidity,pressure
2019-01-01,00:00:00,-,-999,-999,-999,-999
2019-01-01,01:00:00,-,-999,-999,-999,-999
2019-01-01,02:00:00,-,-999,-999,-999,-999
2019-01-01,03:00:00,-,-999,-999,-999,-999
2019-01-01,04:00:00,-,-999,-999,-999,-999
2019-01-01,05:00:00,-,-999,-999,-999,-999
2019-01-01,06:00:00,-,-999,-999,-999,-999
2019-01-01,07:00:00,-,-999,-999,-999,-999
2019-01-01,08:00:00,-,-999,-999,-999,-999
2019-01-01,09:00:00,-,-999,-999,-999,-999
2019-01-01,10:00:00,-,-999,-999,-999,-999
2019-01-01,11:00:00,-,-999,-999,-999,-999
2019-01-01,12:00:00,-,-999,-999,-999,-999
2019-01-01,13:00:00,-,-999,-999,-999,-999
2019-01-01,14:00:00,-,-999,-999,-999,-999
2019-01-01,15:00:00,-,-999,-999,-999,-999
2019-01-01,16:00:00,-,-999,-999,-999,-999
2019-01-01,17:00:00,-,-999,-999,-999,-999
2019-01-01,18:00:00,-,-999,-999,-999,-999
2019-01-01,19:00:00,-,-999,-999,-999,-999
2019-01-01,20:00:00,-,-999,-999,-999,-999
2019-01-01,21:00:00,-,-999,-999,-999,-999
2019-01-01,22:00:00,-,-999,-999,-999,-999
2019-01-01,23:00:00,-,-999,-999,-999,-999
2019-01-02,00:00:00,-,-999,-999,-999,-999
2019-01-02,01:00:00,-,-999,-999,-999,-999
2019-01-02,02:00:00,-,-999,-999,-999,-999
2019-01-02,03:00:00,-,-999,-999,-999,-999
2019-01-02,04:00:00,-,-999,-999,-999,-999
2019-01-02,05:00:00,-,-999,-999,-999,-999
2019-01-02,06:00:00,-,-999,-999,-999,-999
2019-01-02,07:00:00,-,-999,-999,-999,-999
2019-01-02,08:00:00,-,-999,-999,-999,-999
2019-01-02,09:00:00,-,-999,-999,-999,-999
2019-01-02,10:00:00,-,-999,-999,-999,-999
2019-01-02,11:00:00,-,-999,-999,-999,-999
2019-01-02,12:00:00,-,-999,-999,-999,-999
2019-01-02,13:00:00,-,-999,-999,-999,-999
2019-01-02,14:00:00,-,-999,-999,-999,-999
2019-01-02,15:00:00,-,-999,-999,-999,-999
2019-01-02,16:00:00,-,-999,-999,-999,-999
2019-01-02,17:00:00,-,-999,-999,-999,-999
2019-01-02,18:00:00,-,-999,-999,-999,-999
2019-01-02,19:00:00,-,-999,-999,-999,-999
2019-01-02,20:00:00,-,-999,-999,-999,-999
2019-01-02,21:00:00,-,-999,-999,-999,-999
2019-01-02,22:00:00,-,-999,-999,-999,-999
2019-01-02,23:00:00,-,-999,-999,-999,-999
2019-01-03,00:00:00,-,-999,-999,-999,-999
2019-01-03,01:00:00,-,-999,-999,-999,-999
2019-01-03,02:00:00,-,-999,-999,-999,-999
2019-01-03,03:00:00,-,-999,-999,-999,-999
2019-01-03,04:00:00,-,-999,-999,-999,-999
2019-01-03,05:00:00,-,-999,-999,-999,-999
2019-01-03,06:00:00,-,-999,-999,-999,-999
2019-01-03,07:00:00,-,-999,-999,-999,-999
2019-01-03,08:00:00,-,-999,-999,-999,-999
2019-01-03,09:00:00,-,-999,-999,-999,-999
2019-01-03,10:00:00,-,-999,-999,-999,-999
2019-01-03,11:00:00,-,-999,-999,-999,-999
2019-01-03,12:00:00,-,-999,-999,-999,-999
2019-01-03,13:00:00,-,-999,-999,-999,-999
2019-01-03,14:00:00,-,-999,-999,-999,-999
2019-01-03,15:00:00,-,-999,-999,-999,-999
2019-01-03,16:00:00,-,-999,-999,-999,-999
2019-01-03,17:00:00,-,-999,-999,-999,-999
2019-01-03,18:00:00,-,-999,-999,-999,-999
2019-01-03,19:00:00,-,-999,-999,-999,-999
2019-01-03,20:00:00,-,-999,-999,-999,-999
2019-01-03,21:00:00,-,-999,-999,-999,-999
2019-01-03,22:00:00,-,-999,-999,-999,-999
2019-01-03,23:00:00,-,-999,-999,-999,-999
2019-01-04,00:00:00,-,-999,-999,-999,-999
2019-01-04,01:00:00,-,-999,-999,-999,-999
2019-01-04,02:00:00,-,-999,-999,-999,-999
2019-01-04,03:00:00,-,-999,-999,-999,-999
2019-01-04,04:00:00,-,-999,-999,-999,-999
2019-01-04,05:00:00,-,-999,-999,-999,-999
2019-01-04,06:00:00,-,-999,-999,-999,-999
2019-01-04,07:00:00,-,-999,-999,-999,-999
2019-01-04,08:00:00,-,-999,-999,-999,-999
2019-01-04,09:00:00,60,0,25.2,65.7,1009.8
2019-01-04,10:00:00,60,0,28.4,52.4,1010
2019-01-04,11:00:00,60,0,30,50,1009.6
2019-01-04,12:00:00,59.99,0,30,49.6,1008.4
2019-01-04,13:00:00,60,0,29.9,50.1,1006.9
2019-01-04,14:00:00,60,0,30.3,51.2,1005.7
2019-01-04,15:00:00,59.99,0,30.2,51.3,1004.9
2019-01-04,16:00:00,60,0,29.9,51.9,1005
2019-01-04,17:00:00,60,0,30,52.8,1005.1
2019-01-04,18:00:00,60,0,29.5,54.9,1005.6
2019-01-04,19:00:00,60,0,28.5,58.6,1006.4
2019-01-04,20:00:00,60,0,28.4,57.9,1007.1
2019-01-04,21:00:00,60,0,27.8,62.2,1007.6
2019-01-04,22:00:00,60,0,26.8,69.3,1007.2
2019-01-04,23:00:00,60,0,25.6,75.8,1006.9
2019-01-05,00:00:00,60,0,24.3,77.4,1006.8
2019-01-05,01:00:00,60,0,24.3,74,1006.7
2019-01-05,02:00:00,60,0,24.4,72.6,1005.9
2019-01-05,03:00:00,60,0,24.1,75.4,1005.6
2019-01-05,04:00:00,60,0,24.1,75.9,1005.6
2019-01-05,05:00:00,60,0,24.3,74.7,1005.4
2019-01-05,06:00:00,60,0,24.5,75.3,1005.7
2019-01-05,07:00:00,60,0,24.3,76.4,1006.5
2019-01-05,08:00:00,60,0,24.8,75,1007.4
2019-01-05,09:00:00,60,0,25,72.9,1008.1
2019-01-05,10:00:00,59.99,0,27.9,61.4,1008.1
2019-01-05,11:00:00,59.98,0,29.6,55.5,1007.7
2019-01-05,12:00:00,59.99,0,30.8,51.5,1006.6
2019-01-05,13:00:00,59.99,0,30.8,51.5,1005.6
2019-01-05,14:00:00,60,0,31.1,51.6,1004.7
2019-01-05,15:00:00,59.99,0,31,53.4,1004.1
2019-01-05,16:00:00,59.99,0,31,52.6,1004
2019-01-05,17:00:00,59.99,0,30.2,54.6,1004.4
2019-01-05,18:00:00,60,0,29.8,57,1004.7
2019-01-05,19:00:00,59.99,0,29.2,61.1,1005.4
2019-01-05,20:00:00,60,0,28.2,68,1006.2
2019-01-05,21:00:00,60,0,27.1,72.3,1006.6
2019-01-05,22:00:00,60,0,26.7,72,1006.6
2019-01-05,23:00:00,60,0,26.4,72.5,1006.7
2019-01-06,00:00:00,60,0,26.2,75.4,1006.6
2019-01-06,01:00:00,60,0,25.6,77.3,1006.3
2019-01-06,02:00:00,60,0,25.5,80.3,1005.8
2019-01-06,03:00:00,60,0,25,81.8,1005.7
2019-01-06,04:00:00,60,0,24.8,77.8,1005.2
2019-01-06,05:00:00,60,0,24.5,79.3,1005.5
2019-01-06,06:00:00,60,0,24.5,81.3,1005.9
2019-01-06,07:00:00,60,0,24.3,80.9,1006.3
2019-01-06,08:00:00,60,0,25.6,76.4,1007.2
2019-01-06,09:00:00,60,0,27.9,67.6,1007.6
2019-01-06,10:00:00,59.98,0,30.1,58,1007.4
2019-01-06,11:00:00,59.99,0,32.2,50.5,1007.1
2019-01-06,12:00:00,59.99,0,32.5,47.9,1006
2019-01-06,13:00:00,59.99,0,33.4,46.5,1004.7
2019-01-06,14:00:00,59.99,0,33.1,46.6,1004
2019-01-06,15:00:00,59.99,0,32.6,48.6,1003.5
2019-01-06,16:00:00,59.99,0,33.7,45.8,1003.7
2019-01-06,17:00:00,59.99,0,31.5,53.9,1004.1
2019-01-06,18:00:00,59.99,0,29.9,60.5,1004.6
2019-01-06,19:00:00,59.99,0,29.5,63.1,1005.1
2019-01-06,20:00:00,59.99,0,27.8,69,1005.6
2019-01-06,21:00:00,59.99,0,27.1,71.1,1005.6
2019-01-06,22:00:00,59.99,0,26.1,75.3,1005.6
2019-01-06,23:00:00,59.99,0,25.9,74.8,1006
2019-01-07,00:00:00,59.99,0,25.8,75.3,1005.8
2019-01-07,01:00:00,59.99,0,25.3,75.9,1005.5
2019-01-07,02:00:00,60,0,24.9,77.5,1005.1
2019-01-07,03:00:00,59.99,0,24.7,78,1004.6
2019-01-07,04:00:00,59.99,0,24.4,79.2,1004.6
2019-01-07,05:00:00,59.99,0,24.1,82.9,1005.3
2019-01-07,06:00:00,59.99,0,23.5,83.3,1005.5
2019-01-07,07:00:00,59.99,0,23.7,82.1,1006.1
2019-01-07,08:00:00,59.99,0,24.8,77.8,1006.8
2019-01-07,09:00:00,59.99,0,26.8,71.9,1006.9
2019-01-07,10:00:00,59.99,0,30,58.7,1006.6
2019-01-07,11:00:00,59.97,0,32.2,51.7,1005.8
2019-01-07,12:00:00,59.98,0,33.3,48.7,1004.7
